type,title,parent,labels,description
task,"[Task] Implement role-based access control","[Feature] Authorization","task|backend|security","Implement RBAC."
task,"[Task] Enforce module-level permissions","[Feature] Authorization","task|backend|security","Enforce module permissions."
task,"[Task] Enforce action-level permissions","[Feature] Authorization","task|backend|security","Enforce action permissions."
epic,"[Epic] Property setup and configuration",,"epic|backend","Build hotel setup, inventory configuration, and rate setup capabilities."
feature,"[Feature] Hotel configuration","[Epic] Property setup and configuration","feature|backend","Configure property-level operational settings."
task,"[Task] Set hotel profile settings","[Feature] Hotel configuration","task|backend","Set hotel profile settings."
task,"[Task] Set currency, timezone, tax settings","[Feature] Hotel configuration","task|backend","Set currency, timezone, and taxes."
task,"[Task] Configure invoice and receipt settings","[Feature] Hotel configuration","task|backend","Configure invoice and receipt settings."
feature,"[Feature] Inventory setup","[Epic] Property setup and configuration","feature|backend","Configure room inventory and operational rules."
task,"[Task] Configure room types","[Feature] Inventory setup","task|backend","Configure room types."
task,"[Task] Configure rooms","[Feature] Inventory setup","task|backend","Configure rooms."
task,"[Task] Configure amenities and status rules","[Feature] Inventory setup","task|backend","Configure amenities and room rules."
feature,"[Feature] Rate setup","[Epic] Property setup and configuration","feature|backend","Configure pricing and restrictions."
task,"[Task] Configure rate plans","[Feature] Rate setup","task|backend","Configure rate plans."
task,"[Task] Configure seasonal pricing","[Feature] Rate setup","task|backend","Configure seasonal pricing."
task,"[Task] Configure occupancy rules and restrictions","[Feature] Rate setup","task|backend","Configure occupancy rules and restrictions."
epic,"[Epic] Reservation management",,"epic|backend|frontend","Build reservation lifecycle handling, booking types, and availability management."
feature,"[Feature] Booking operations","[Epic] Reservation management","feature|backend|frontend","Manage the reservation lifecycle."
task,"[Task] Create reservation flow","[Feature] Booking operations","task|backend|frontend","Create reservations."
task,"[Task] Edit reservation flow","[Feature] Booking operations","task|backend|frontend","Edit reservations."
task,"[Task] Cancel reservation flow","[Feature] Booking operations","task|backend|frontend","Cancel reservations."
task,"[Task] Handle no-show and waitlist","[Feature] Booking operations","task|backend|frontend","Handle no-show and waitlist flow."
feature,"[Feature] Booking types","[Epic] Reservation management","feature|backend|frontend","Support multiple booking sources and reservation types."
task,"[Task] Support walk-in bookings","[Feature] Booking types","task|backend|frontend","Support walk-in bookings."
task,"[Task] Support direct bookings","[Feature] Booking types","task|backend|frontend","Support direct bookings."
task,"[Task] Support group bookings","[Feature] Booking types","task|backend|frontend","Support group bookings."
task,"[Task] Track source channels","[Feature] Booking types","task|backend|frontend","Track booking source channels."
feature,"[Feature] Availability views","[Epic] Reservation management","feature|backend|frontend","Manage room availability and allocation."
task,"[Task] Build room availability calendar","[Feature] Availability views","task|backend|frontend","Build availability calendar."
task,"[Task] Build room assignment workflow","[Feature] Availability views","task|backend|frontend","Build room assignment workflow."
task,"[Task] Prevent overbooking conflicts","[Feature] Availability views","task|backend|frontend","Prevent overbooking conflicts."
epic,"[Epic] Front desk operations",,"epic|backend|frontend","Build check-in, in-stay, and checkout workflows."
feature,"[Feature] Check-in workflow","[Epic] Front desk operations","feature|backend|frontend","Support guest arrival and room allocation."
task,"[Task] Assign room at check-in","[Feature] Check-in workflow","task|backend|frontend","Assign rooms at check-in."
task,"[Task] Capture guest verification details","[Feature] Check-in workflow","task|backend|frontend","Capture guest verification details."
task,"[Task] Handle early check-in and upgrades","[Feature] Check-in workflow","task|backend|frontend","Handle early check-in and upgrades."
feature,"[Feature] In-stay operations","[Epic] Front desk operations","feature|backend|frontend","Support changes during a stay."
task,"[Task] Support room move","[Feature] In-stay operations","task|backend|frontend","Support room moves."
task,"[Task] Support stay extension","[Feature] In-stay operations","task|backend|frontend","Support stay extensions."
task,"[Task] Support add-on service posting","[Feature] In-stay operations","task|backend|frontend","Support add-on service posting."
feature,"[Feature] Checkout workflow","[Epic] Front desk operations","feature|backend|frontend","Support departure and settlement."
task,"[Task] Review folio before checkout","[Feature] Checkout workflow","task|backend|frontend","Review folio before checkout."
task,"[Task] Collect payment at checkout","[Feature] Checkout workflow","task|backend|frontend","Collect payment at checkout."
task,"[Task] Generate invoice and receipt","[Feature] Checkout workflow","task|backend|frontend","Generate invoice and receipt."
epic,"[Epic] Folio, billing, and payments",,"epic|backend|database","Build folio operations, payment processing, and reconciliation controls."
feature,"[Feature] Folio operations","[Epic] Folio, billing, and payments","feature|backend|database","Manage folio posting and billing items."
task,"[Task] Post room charges","[Feature] Folio operations","task|backend|database","Post room charges."
task,"[Task] Post extra service charges","[Feature] Folio operations","task|backend|database","Post extra service charges."
task,"[Task] Apply taxes and discounts","[Feature] Folio operations","task|backend|database","Apply taxes and discounts."
task,"[Task] Split folios","[Feature] Folio operations","task|backend|database","Split folios."
feature,"[Feature] Payment handling","[Epic] Folio, billing, and payments","feature|backend|database","Record and track payments."
task,"[Task] Record cash payments","[Feature] Payment handling","task|backend|database","Record cash payments."
task,"[Task] Record card payments","[Feature] Payment handling","task|backend|database","Record card payments."
task,"[Task] Record deposits and refunds","[Feature] Payment handling","task|backend|database","Record deposits and refunds."
task,"[Task] Track payment status","[Feature] Payment handling","task|backend|database","Track payment status."
feature,"[Feature] Financial control","[Epic] Folio, billing, and payments","feature|backend|database","Add financial controls and reconciliation."
task,"[Task] Implement void and reversal flow","[Feature] Financial control","task|backend|database","Implement void and reversal flow."
task,"[Task] Implement approval for sensitive adjustments","[Feature] Financial control","task|backend|database","Implement adjustment approvals."
task,"[Task] Build end-of-day reconciliation","[Feature] Financial control","task|backend|database","Build end-of-day reconciliation."
epic,"[Epic] Housekeeping and maintenance",,"epic|backend|frontend","Build room cleaning, maintenance, and operational room status coordination."
feature,"[Feature] Housekeeping management","[Epic] Housekeeping and maintenance","feature|backend|frontend","Manage room cleaning and readiness."
task,"[Task] Track dirty, clean, inspected states","[Feature] Housekeeping management","task|backend|frontend","Track room cleanliness states."
task,"[Task] Assign housekeeping tasks","[Feature] Housekeeping management","task|backend|frontend","Assign housekeeping tasks."
task,"[Task] Record task completion","[Feature] Housekeeping management","task|backend|frontend","Record housekeeping task completion."
feature,"[Feature] Maintenance management","[Epic] Housekeeping and maintenance","feature|backend|frontend","Manage room maintenance workflows."
task,"[Task] Create maintenance requests","[Feature] Maintenance management","task|backend|frontend","Create maintenance requests."
task,"[Task] Mark rooms out of order","[Feature] Maintenance management","task|backend|frontend","Mark rooms out of order."
task,"[Task] Restore rooms to service","[Feature] Maintenance management","task|backend|frontend","Restore rooms to service."
feature,"[Feature] Operational coordination","[Epic] Housekeeping and maintenance","feature|backend|frontend","Keep room status aligned across teams."
task,"[Task] Sync front desk and housekeeping room status","[Feature] Operational coordination","task|backend|frontend","Sync room status across teams."
task,"[Task] Surface ready-room visibility","[Feature] Operational coordination","task|backend|frontend","Surface ready-room visibility."
epic,"[Epic] Reporting and dashboards",,"epic|reporting","Build operational dashboards and revenue reporting."
feature,"[Feature] Operational dashboards","[Epic] Reporting and dashboards","feature|reporting","Show real-time operational hotel metrics."
task,"[Task] Show arrivals and departures","[Feature] Operational dashboards","task|reporting","Show arrivals and departures."
task,"[Task] Show in-house guests","[Feature] Operational dashboards","task|reporting","Show in-house guests."
task,"[Task] Show room status overview","[Feature] Operational dashboards","task|reporting","Show room status overview."
feature,"[Feature] Revenue reporting","[Epic] Reporting and dashboards","feature|reporting","Support commercial and finance reporting."
task,"[Task] Build occupancy report","[Feature] Revenue reporting","task|reporting","Build occupancy report."
task,"[Task] Build ADR and RevPAR report","[Feature] Revenue reporting","task|reporting","Build ADR and RevPAR report."
task,"[Task] Build revenue by source report","[Feature] Revenue reporting","task|reporting","Build revenue by source report."
task,"[Task] Build payment summary report","[Feature] Revenue reporting","task|reporting","Build payment summary report."
feature,"[Feature] Export and sharing","[Epic] Reporting and dashboards","feature|reporting","Support report export options."
task,"[Task] Export CSV reports","[Feature] Export and sharing","task|reporting","Export CSV reports."
task,"[Task] Export PDF reports","[Feature] Export and sharing","task|reporting","Export PDF reports."
epic,"[Epic] Notifications and integrations",,"epic|integration","Add guest notifications and external/internal integrations."
feature,"[Feature] Guest communication","[Epic] Notifications and integrations","feature|integration","Support outbound guest messaging."
task,"[Task] Send booking confirmation","[Feature] Guest communication","task|integration","Send booking confirmation."
task,"[Task] Send pre-arrival reminder","[Feature] Guest communication","task|integration","Send pre-arrival reminder."
task,"[Task] Send checkout invoice","[Feature] Guest communication","task|integration","Send checkout invoice."
feature,"[Feature] Payments and external systems","[Epic] Notifications and integrations","feature|integration","Integrate with third-party operational systems."
task,"[Task] Integrate payment gateway","[Feature] Payments and external systems","task|integration","Integrate payment gateway."
task,"[Task] Define accounting export","[Feature] Payments and external systems","task|integration","Define accounting export."
task,"[Task] Define OTA/channel manager integration","[Feature] Payments and external systems","task|integration","Define OTA or channel manager integration."
feature,"[Feature] Internal integration model","[Epic] Notifications and integrations","feature|integration","Define internal system contracts."
task,"[Task] Define API contracts","[Feature] Internal integration model","task|integration","Define API contracts."
task,"[Task] Define webhook events","[Feature] Internal integration model","task|integration","Define webhook events."
epic,"[Epic] Security, audit, and hardening",,"epic|security","Harden the system for security, traceability, and operational reliability."
feature,"[Feature] Security baseline","[Epic] Security, audit, and hardening","feature|security","Protect sensitive data and enforce secure defaults."
task,"[Task] Protect guest PII","[Feature] Security baseline","task|security","Protect guest PII."
task,"[Task] Enforce least-privilege access","[Feature] Security baseline","task|security","Enforce least-privilege access."
task,"[Task] Add secure input validation","[Feature] Security baseline","task|security","Add secure input validation."
feature,"[Feature] Auditability","[Epic] Security, audit, and hardening","feature|security","Make sensitive actions traceable."
task,"[Task] Log reservation changes","[Feature] Auditability","task|security","Log reservation changes."
task,"[Task] Log folio and payment actions","[Feature] Auditability","task|security","Log folio and payment actions."
task,"[Task] Log admin configuration changes","[Feature] Auditability","task|security","Log admin configuration changes."
feature,"[Feature] Reliability","[Epic] Security, audit, and hardening","feature|security","Define operational resilience standards."
task,"[Task] Define backup and restore approach","[Feature] Reliability","task|security","Define backup and restore approach."
task,"[Task] Define monitoring and alerting","[Feature] Reliability","task|security","Define monitoring and alerting."
task,"[Task] Define error handling standards","[Feature] Reliability","task|security","Define error handling standards."
